administrador,usuario,presionó botón correcto,tiempo de interacción,mini juego,número de interacción por lección,color presionado,dificultad,fecha,juego,auto push,tiempo de lección,tiempo de sesión
1,6,1,0.0,5,1,4,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,15.4462,5,2,4,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,7.900033,5,3,4,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,1,9.168076,5,4,4,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,4.517019,5,5,4,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,4.950146,5,6,4,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,3,999.0,5,0,5,1,1969-12-31 18:00:45.335,2,2,66.31561,9999.0
1,6,2,10.19321,6,1,2,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,5.960228,6,2,2,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,5.343826,6,3,2,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,6.506995,6,4,2,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,3,999.0,6,0,5,1,1969-12-31 18:00:45.335,2,2,54.97932,9999.0
1,6,2,8.527688,7,1,3,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,4.532969,7,2,3,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,2.433409,7,3,3,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,5.066789,7,4,3,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,3,999.0,7,0,5,1,1969-12-31 18:00:45.335,2,2,40.87973,9999.0
1,6,1,8.017762,8,1,4,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,1,9.401274,8,2,2,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,14.95197,8,3,1,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,1,0.0498299,8,4,2,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,1,5.150199,8,5,2,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,11.70072,8,6,1,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,6.883692,8,7,1,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,9.700768,8,8,1,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,3,999.0,8,0,5,1,1969-12-31 18:00:45.335,2,2,66.70478,9999.0
1,6,2,4.965643,5,1,1,2,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,3.316386,5,2,1,2,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,4.250338,5,3,1,2,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,3.400026,5,4,1,2,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,3,999.0,5,0,5,2,1969-12-31 18:00:45.335,2,2,50.60174,9999.0
1,6,1,0.0,6,1,2,2,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,5.509371,6,2,4,2,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,5.127581,6,3,4,2,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,2.945512,6,4,4,2,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,1,16.50105,6,5,2,2,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,10.54263,6,6,4,2,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,3,999.0,6,0,5,2,1969-12-31 18:00:45.335,2,2,56.11254,9999.0
1,6,2,3.653596,7,1,2,2,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,3.216813,7,2,2,2,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,3.267336,7,3,2,2,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,4.150227,7,4,2,2,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,3,999.0,7,0,5,2,1969-12-31 18:00:45.335,2,2,37.22212,9999.0
1,6,2,3.42376,8,1,3,2,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,1,6.467147,8,2,2,2,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,8.367212,8,3,3,2,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,1.716951,8,4,3,2,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,1,4.399674,8,5,1,2,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,6.966618,8,6,3,2,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,3,999.0,8,0,5,2,1969-12-31 18:00:45.335,2,2,43.87701,9999.0
1,6,1,0.0,5,1,4,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,1,2.767041,5,2,4,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,13.22549,5,3,4,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,6.283442,5,4,2,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,1,18.53449,5,5,4,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,10.35056,5,6,4,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,4.500033,5,7,2,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,1,11.70083,5,8,4,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,1,15.11758,5,9,4,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,1,15.38473,5,10,4,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,7.316496,5,11,4,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,3,999.0,5,0,5,3,1969-12-31 18:00:45.335,2,2,84.88017,9999.0
1,6,2,4.387047,6,1,2,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,1,12.98452,6,2,2,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,1,15.10087,6,3,2,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,1,19.08493,6,4,2,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,1,22.18511,6,5,4,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,1,26.43536,6,6,4,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,1,30.25177,6,7,4,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,27.93931,6,8,1,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,12.80539,6,9,2,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,1,16.68478,6,10,4,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,13.30193,6,11,1,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,6.613986,6,12,2,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,3,999.0,6,0,5,3,1969-12-31 18:00:45.335,2,2,101.2263,9999.0
1,6,2,5.309087,7,1,3,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,1,0.0,7,2,3,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,7.067169,7,3,1,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,1,0.0,7,4,1,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,3.416732,7,5,3,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,1,0.0,7,6,4,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,11.55076,7,7,1,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,1,0.0,7,8,2,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,1,0.0,7,9,2,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,8.400587,7,10,3,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,3,999.0,7,0,5,3,1969-12-31 18:00:45.335,2,2,57.77949,9999.0
1,6,1,12.31725,8,1,2,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,14.68415,8,2,4,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,10.73506,8,3,4,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,4.750132,8,4,4,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,1,12.71735,8,5,2,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,13.91794,8,6,4,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,11.56707,8,7,4,3,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,3,999.0,8,0,5,3,1969-12-31 18:00:45.335,2,2,75.52168,9999.0
1,6,3,999.0,10,0,5,4,1969-12-31 18:00:45.335,2,2,999.0,1250.198
1,6,1,2.560156,1,1,2,1,1969-12-31 18:00:45.335,1,1,0.0,0.0
1,6,2,6.361011,1,2,2,1,1969-12-31 18:00:45.335,1,1,0.0,0.0
1,6,2,3.169014,1,3,1,1,1969-12-31 18:00:45.335,1,1,0.0,0.0
1,6,1,2.733049,1,4,3,1,1969-12-31 18:00:45.335,1,1,0.0,0.0
1,6,2,2.866388,1,5,3,1,1969-12-31 18:00:45.335,1,1,0.0,0.0
1,6,1,0.032752,1,6,2,1,1969-12-31 18:00:45.335,1,1,0.0,0.0
1,6,1,0.1491583,1,7,2,1,1969-12-31 18:00:45.335,1,1,0.0,0.0
1,6,2,3.783064,1,8,2,1,1969-12-31 18:00:45.335,1,1,0.0,0.0
1,6,3,999.0,1,0,5,1,1969-12-31 18:00:45.335,1,2,18.37781,9999.0
1,6,3,999.0,10,0,5,1,1969-12-31 18:00:45.335,1,2,999.0,65.23122
1,6,1,6.675762,9,1,3,1,1969-12-31 18:00:45.335,1,1,0.0,0.0
1,6,2,11.44288,9,2,4,1,1969-12-31 18:00:45.335,1,1,0.0,0.0
1,6,2,5.417359,9,3,2,1,1969-12-31 18:00:45.335,1,1,0.0,0.0
1,6,2,3.900391,9,4,3,1,1969-12-31 18:00:45.335,1,1,0.0,0.0
1,6,2,4.250599,9,5,1,1,1969-12-31 18:00:45.335,1,1,0.0,0.0
1,6,3,999.0,9,0,5,1,1969-12-31 18:00:45.335,1,2,40.0779,9999.0
1,6,1,0.0752379,1,1,2,1,1969-12-31 18:00:45.335,1,1,0.0,0.0
1,6,2,2.158639,1,2,2,1,1969-12-31 18:00:45.335,1,1,0.0,0.0
1,6,1,2.183688,1,3,1,1,1969-12-31 18:00:45.335,1,1,0.0,0.0
1,6,2,3.733567,1,4,1,1,1969-12-31 18:00:45.335,1,1,0.0,0.0
1,6,2,1.750629,1,5,3,1,1969-12-31 18:00:45.335,1,1,0.0,0.0
1,6,1,0.1329497,1,6,2,1,1969-12-31 18:00:45.335,1,1,0.0,0.0
1,6,1,2.749467,1,7,2,1,1969-12-31 18:00:45.335,1,1,0.0,0.0
1,6,2,4.049852,1,8,2,1,1969-12-31 18:00:45.335,1,1,0.0,0.0
1,6,3,999.0,1,0,5,1,1969-12-31 18:00:45.335,1,2,14.29297,9999.0
1,6,2,0.3548414,3,1,4,1,1969-12-31 18:00:45.335,1,1,0.0,0.0
1,6,2,4.833096,3,2,3,1,1969-12-31 18:00:45.335,1,1,0.0,0.0
1,6,2,2.183934,3,3,1,1,1969-12-31 18:00:45.335,1,1,0.0,0.0
1,6,2,3.132681,3,4,2,1,1969-12-31 18:00:45.335,1,1,0.0,0.0
1,6,3,999.0,3,0,5,1,1969-12-31 18:00:45.335,1,2,19.90626,9999.0
1,6,2,1.600182,4,1,2,1,1969-12-31 18:00:45.335,1,1,0.0,0.0
1,6,2,1.616956,4,2,4,1,1969-12-31 18:00:45.335,1,1,0.0,0.0
1,6,2,1.816947,4,3,1,1,1969-12-31 18:00:45.335,1,1,0.0,0.0
1,6,2,1.916626,4,4,3,1,1969-12-31 18:00:45.335,1,1,0.0,0.0
1,6,3,999.0,4,0,5,1,1969-12-31 18:00:45.335,1,2,31.05151,9999.0
1,6,3,999.0,2,0,5,1,1969-12-31 18:00:45.335,1,2,1.795599,9999.0
1,6,3,999.0,10,0,5,1,1969-12-31 18:00:45.335,1,2,999.0,332.8622
1,6,3,999.0,12,0,5,1,1969-12-31 18:00:45.335,1,2,999.0,9999.0
1,6,2,5.547077,8,1,4,1,1969-12-31 18:00:45.629,2,1,0.0,0.0
1,6,1,1.883382,8,2,3,1,1969-12-31 18:00:45.629,2,1,0.0,0.0
1,6,1,2.266745,8,3,3,1,1969-12-31 18:00:45.629,2,1,0.0,0.0
1,6,2,4.666707,8,4,2,1,1969-12-31 18:00:45.629,2,1,0.0,0.0
1,6,2,5.333184,8,5,3,1,1969-12-31 18:00:45.629,2,1,0.0,0.0
1,6,1,2.716775,8,6,2,1,1969-12-31 18:00:45.629,2,1,0.0,0.0
1,6,2,5.816915,8,7,1,1,1969-12-31 18:00:45.629,2,1,0.0,0.0
1,6,3,999.0,8,0,5,1,1969-12-31 18:00:45.629,2,2,44.88255,9999.0
1,6,2,5.608068,8,1,1,2,1969-12-31 18:00:45.629,2,1,0.0,0.0
1,6,2,3.117116,8,2,4,2,1969-12-31 18:00:45.629,2,1,0.0,0.0
1,6,2,4.983659,8,3,2,2,1969-12-31 18:00:45.629,2,1,0.0,0.0
1,6,2,7.749976,8,4,3,2,1969-12-31 18:00:45.629,2,1,0.0,0.0
1,6,3,999.0,8,0,5,2,1969-12-31 18:00:45.629,2,2,45.24334,9999.0
1,6,2,4.269889,8,1,3,3,1969-12-31 18:00:45.629,2,1,0.0,0.0
1,6,1,0.2156654,8,2,4,3,1969-12-31 18:00:45.629,2,1,0.0,0.0
1,6,2,2.282672,8,3,2,3,1969-12-31 18:00:45.629,2,1,0.0,0.0
1,6,2,1.116666,8,4,3,3,1969-12-31 18:00:45.629,2,1,0.0,0.0
1,6,2,4.1333,8,5,2,3,1969-12-31 18:00:45.629,2,1,0.0,0.0
1,6,1,5.633736,8,6,2,3,1969-12-31 18:00:45.629,2,1,0.0,0.0
1,6,2,8.467093,8,7,4,3,1969-12-31 18:00:45.629,2,1,0.0,0.0
1,6,3,999.0,8,0,5,3,1969-12-31 18:00:45.629,2,2,45.28905,9999.0
1,6,3,999.0,10,0,5,4,1969-12-31 18:00:45.629,2,2,999.0,243.4466
1,6,1,0.0,7,1,3,1,1969-12-31 18:00:45.629,2,1,0.0,0.0
1,6,2,5.09498,7,2,4,1,1969-12-31 18:00:45.629,2,1,0.0,0.0
1,6,1,0.0,7,3,3,1,1969-12-31 18:00:45.629,2,1,0.0,0.0
1,6,2,6.183715,7,4,2,1,1969-12-31 18:00:45.629,2,1,0.0,0.0
1,6,2,3.766402,7,5,3,1,1969-12-31 18:00:45.629,2,1,0.0,0.0
1,6,2,5.333929,7,6,1,1,1969-12-31 18:00:45.629,2,1,0.0,0.0
1,6,3,999.0,7,0,5,1,1969-12-31 18:00:45.629,2,2,41.31378,9999.0
1,6,2,4.219598,7,1,2,2,1969-12-31 18:00:45.629,2,1,0.0,0.0
1,6,2,2.283491,7,2,1,2,1969-12-31 18:00:45.629,2,1,0.0,0.0
1,6,2,2.28401,7,3,3,2,1969-12-31 18:00:45.629,2,1,0.0,0.0
1,6,2,1.983459,7,4,4,2,1969-12-31 18:00:45.629,2,1,0.0,0.0
1,6,3,999.0,7,0,5,2,1969-12-31 18:00:45.629,2,2,34.016,9999.0
1,6,1,0.0,7,1,3,3,1969-12-31 18:00:45.629,2,1,0.0,0.0
1,6,2,3.610319,7,2,1,3,1969-12-31 18:00:45.629,2,1,0.0,0.0
1,6,1,0.0,7,3,3,3,1969-12-31 18:00:45.629,2,1,0.0,0.0
1,6,1,0.0,7,4,3,3,1969-12-31 18:00:45.629,2,1,0.0,0.0
1,6,1,0.0,7,5,1,3,1969-12-31 18:00:45.629,2,1,0.0,0.0
1,6,1,0.0,7,6,2,3,1969-12-31 18:00:45.629,2,1,0.0,0.0
1,6,2,9.100394,7,7,4,3,1969-12-31 18:00:45.629,2,1,0.0,0.0
1,6,2,5.133604,7,8,2,3,1969-12-31 18:00:45.629,2,1,0.0,0.0
1,6,2,4.184339,7,9,3,3,1969-12-31 18:00:45.629,2,1,0.0,0.0
